Time	WCCILevent - %CPU	WCCILevent - Memory	VC/sec
2017.02.22 08:55:00.000	0.00	264368	-1
2017.02.22 08:56:00.000	75.00	491880	-1
2017.02.22 08:57:00.000	81.67	491880	-1
2017.02.22 08:58:00.000	61.67	491880	-1
2017.02.22 08:59:00.000	60.00	491880	-1
2017.02.22 09:00:00.000	61.67	491880	-1
2017.02.22 09:01:00.000	56.67	491880	-1
2017.02.22 09:02:00.000	58.33	491880	-1
2017.02.22 09:03:00.000	56.67	491880	-1
2017.02.22 09:04:00.000	58.33	491880	-1
2017.02.22 09:05:00.000	56.67	491880	-1
2017.02.22 09:06:00.000	58.33	491880	-1
2017.02.22 09:07:00.000	56.67	491880	-1
2017.02.22 09:08:00.000	58.33	491880	-1
2017.02.22 09:09:00.000	56.67	491880	-1
2017.02.22 09:10:00.000	58.33	491880	-1
2017.02.22 09:11:00.000	56.67	491880	-1
2017.02.22 09:12:00.000	58.33	491880	-1
2017.02.22 09:13:00.000	56.67	491880	-1
2017.02.22 09:14:00.000	58.33	491880	-1
2017.02.22 09:15:00.000	60.00	491880	-1
2017.02.22 09:16:00.000	61.67	491880	-1
2017.02.22 09:17:00.000	60.00	491880	-1
2017.02.22 09:18:00.000	61.67	491880	-1
2017.02.22 09:19:00.000	61.67	491880	-1
2017.02.22 09:20:00.000	60.00	491880	-1
2017.02.22 09:21:00.000	61.67	491880	-1
2017.02.22 09:22:00.000	58.33	491880	-1
2017.02.22 09:23:00.000	53.33	491880	-1
2017.02.22 09:24:00.000	60.00	491900	-1
2017.02.22 09:25:00.000	61.67	491900	-1
2017.02.22 09:26:00.000	60.00	491900	-1
2017.02.22 09:27:00.000	61.67	491900	-1
2017.02.22 09:28:00.000	61.67	491900	-1
