COMMAND           PID   RSS    VSZ     ELAPSED     TIME      %CPU                     Time
WCCILevent      28602 1094320 1282532    05:21 00:04:45      0.00  2017.03.28 23:06:00.586
WCCILevent      28602 1094320 1282532    06:21 00:05:34      81.67  2017.03.28 23:07:00.516
WCCILevent      28602 1094320 1282532    07:21 00:06:15      68.33  2017.03.28 23:08:00.516
WCCILevent      28602 1094320 1282532    08:21 00:06:56      68.33  2017.03.28 23:09:00.519
WCCILevent      28602 1094320 1282532    09:21 00:07:36      66.67  2017.03.28 23:10:00.515
WCCILevent      28602 1094320 1282532    10:21 00:08:16      66.67  2017.03.28 23:11:00.520
WCCILevent      28602 1094320 1282532    11:21 00:08:56      66.67  2017.03.28 23:12:00.522
WCCILevent      28602 1094320 1282532    12:21 00:09:36      66.67  2017.03.28 23:13:00.518
WCCILevent      28602 1094320 1282532    13:21 00:10:16      66.67  2017.03.28 23:14:00.516
WCCILevent      28602 1094320 1282532    14:21 00:10:55      65.00  2017.03.28 23:15:00.517
WCCILevent      28602 1094320 1282532    15:21 00:11:35      66.67  2017.03.28 23:16:00.518
WCCILevent      28602 1094320 1282532    16:21 00:12:14      65.00  2017.03.28 23:17:00.516
WCCILevent      28602 1094320 1282532    17:21 00:12:53      65.00  2017.03.28 23:18:00.517
WCCILevent      28602 1094320 1282532    18:21 00:13:33      66.67  2017.03.28 23:19:00.517
WCCILevent      28602 1094320 1282532    19:21 00:14:12      65.00  2017.03.28 23:20:00.518
WCCILevent      28602 1094320 1282532    20:21 00:14:51      65.00  2017.03.28 23:21:00.516
WCCILevent      28602 1094320 1282532    21:21 00:15:31      66.67  2017.03.28 23:22:00.516
WCCILevent      28602 1094320 1282532    22:21 00:16:10      65.00  2017.03.28 23:23:00.518
WCCILevent      28602 1094320 1282532    23:21 00:16:50      66.67  2017.03.28 23:24:00.525
WCCILevent      28602 1094320 1282532    24:21 00:17:29      65.00  2017.03.28 23:25:00.518
WCCILevent      28602 1094320 1282532    25:21 00:18:09      66.67  2017.03.28 23:26:00.519
WCCILevent      28602 1094320 1282532    26:21 00:18:48      65.00  2017.03.28 23:27:00.514
WCCILevent      28602 1094320 1282532    27:21 00:19:28      66.67  2017.03.28 23:28:00.520
WCCILevent      28602 1094320 1282532    28:21 00:20:07      65.00  2017.03.28 23:29:00.515
WCCILevent      28602 1094320 1282532    29:21 00:20:47      66.67  2017.03.28 23:30:00.517
WCCILevent      28602 1094320 1282532    30:21 00:21:26      65.00  2017.03.28 23:31:00.516
WCCILevent      28602 1094320 1282532    31:21 00:22:05      65.00  2017.03.28 23:32:00.516
WCCILevent      28602 1094320 1282532    32:21 00:22:45      66.67  2017.03.28 23:33:00.516
WCCILevent      28602 1094320 1282532    33:21 00:23:24      65.00  2017.03.28 23:34:00.515
WCCILevent      28602 1094320 1282532    34:21 00:24:04      66.67  2017.03.28 23:35:00.517
WCCILevent      28602 1094320 1282532    35:21 00:24:43      65.00  2017.03.28 23:36:00.518
WCCILevent      28602 1094320 1282532    36:21 00:25:23      66.67  2017.03.28 23:37:00.516
WCCILevent      28602 1094320 1282532    37:21 00:26:02      65.00  2017.03.28 23:38:00.521
WCCILevent      28602 1094320 1282532    38:21 00:26:42      66.67  2017.03.28 23:39:00.516
WCCILevent      28602 1094320 1282532    39:21 00:27:21      65.00  2017.03.28 23:40:00.517
WCCILevent      28602 1094320 1282532    40:21 00:28:01      66.67  2017.03.28 23:41:00.517
WCCILevent      28602 1094320 1282532    41:21 00:28:40      65.00  2017.03.28 23:42:00.516
WCCILevent      28602 1094320 1282532    42:21 00:29:20      66.67  2017.03.28 23:43:00.518
WCCILevent      28602 1094320 1282532    43:21 00:29:59      65.00  2017.03.28 23:44:00.518
WCCILevent      28602 1094320 1282532    44:21 00:30:39      66.67  2017.03.28 23:45:00.522
WCCILevent      28602 1094320 1282532    45:21 00:31:18      65.00  2017.03.28 23:46:00.516
WCCILevent      28602 1094320 1282532    46:21 00:31:58      66.67  2017.03.28 23:47:00.517
WCCILevent      28602 1094320 1282532    47:21 00:32:37      65.00  2017.03.28 23:48:00.517
WCCILevent      28602 1094320 1282532    48:21 00:33:17      66.67  2017.03.28 23:49:00.517
WCCILevent      28602 1094320 1282532    49:21 00:33:56      65.00  2017.03.28 23:50:00.521
WCCILevent      28602 1094320 1282532    50:21 00:34:35      65.00  2017.03.28 23:51:00.518
WCCILevent      28602 1094320 1282532    51:21 00:35:15      66.67  2017.03.28 23:52:00.519
WCCILevent      28602 1094320 1282532    52:21 00:35:55      66.67  2017.03.28 23:53:00.516
WCCILevent      28602 1094320 1282532    53:21 00:36:34      65.00  2017.03.28 23:54:00.516
WCCILevent      28602 1094320 1282532    54:21 00:37:14      66.67  2017.03.28 23:55:00.518
WCCILevent      28602 1094320 1282532    55:21 00:37:53      65.00  2017.03.28 23:56:00.519
WCCILevent      28602 1094320 1282532    56:21 00:38:33      66.67  2017.03.28 23:57:00.517
WCCILevent      28602 1094320 1282532    57:21 00:39:12      65.00  2017.03.28 23:58:00.516
WCCILevent      28602 1094320 1282532    58:21 00:39:52      66.67  2017.03.28 23:59:00.515
WCCILevent      28602 1094320 1282532    59:21 00:40:31      65.00  2017.03.29 00:00:00.523
WCCILevent      28602 1094320 1282532 01:00:21 00:41:11      66.67  2017.03.29 00:01:00.516
WCCILevent      28602 1094320 1282532 01:01:21 00:41:50      65.00  2017.03.29 00:02:00.516
WCCILevent      28602 1094320 1282532 01:02:21 00:42:30      66.67  2017.03.29 00:03:00.516
WCCILevent      28602 1094320 1282532 01:03:21 00:43:10      66.67  2017.03.29 00:04:00.518
WCCILevent      28602 1094320 1282532 01:04:21 00:43:49      65.00  2017.03.29 00:05:00.516
WCCILevent      28602 1094320 1282532 01:05:21 00:44:28      65.00  2017.03.29 00:06:00.516
WCCILevent      28602 1094320 1282532 01:06:21 00:45:08      66.67  2017.03.29 00:07:00.516
WCCILevent      28602 1094320 1282532 01:07:21 00:45:47      65.00  2017.03.29 00:08:00.514
WCCILevent      28602 1094320 1282532 01:08:21 00:46:27      66.67  2017.03.29 00:09:00.517
WCCILevent      28602 1094320 1282532 01:09:21 00:47:07      66.67  2017.03.29 00:10:00.518
WCCILevent      28602 1094320 1282532 01:10:21 00:47:46      65.00  2017.03.29 00:11:00.517
WCCILevent      28602 1094320 1282532 01:11:21 00:48:26      66.67  2017.03.29 00:12:00.518
WCCILevent      28602 1094320 1282532 01:12:21 00:49:05      65.00  2017.03.29 00:13:00.516
WCCILevent      28602 1094320 1282532 01:13:21 00:49:44      65.00  2017.03.29 00:14:00.518
WCCILevent      28602 1094320 1282532 01:14:21 00:50:24      66.67  2017.03.29 00:15:00.516
WCCILevent      28602 1094320 1282532 01:15:21 00:51:03      65.00  2017.03.29 00:16:00.517
WCCILevent      28602 1094320 1282532 01:16:21 00:51:43      66.67  2017.03.29 00:17:00.518
WCCILevent      28602 1094320 1282532 01:17:21 00:52:22      65.00  2017.03.29 00:18:00.516
WCCILevent      28602 1094320 1282532 01:18:21 00:53:02      66.67  2017.03.29 00:19:00.517
WCCILevent      28602 1094320 1282532 01:19:21 00:53:41      65.00  2017.03.29 00:20:00.515
WCCILevent      28602 1094320 1282532 01:20:21 00:54:20      65.00  2017.03.29 00:21:00.516
