WinCC OA Recipe	DesnaCev	2016.08.19 16:36:33.531
Description	
No.	Datapoint element	Description	Type	Unit	Min.	Max.
1	SysSarani:VMS1-OAD.command.izbor_znaka	SysSarani:VMS1-OAD.command.izbor_znaka	dyn_int		0	0
2	SysSarani:VMS2-OAD.command.izbor_znaka	SysSarani:VMS2-OAD.command.izbor_znaka	dyn_int		0	0
3	SysSarani:VMS3-OAD.command.izbor_znaka	SysSarani:VMS3-OAD.command.izbor_znaka	dyn_int		0	0
4	SysSarani:VMS1-TKD1.command.izbor_znaka	SysSarani:VMS1-TKD1.command.izbor_znaka	dyn_int		0	0
5	SysSarani:VMS2-TKD1.command.izbor_znaka	SysSarani:VMS2-TKD1.command.izbor_znaka	dyn_int		0	0
6	SysSarani:VMS3-TKD1.command.izbor_znaka	SysSarani:VMS3-TKD1.command.izbor_znaka	dyn_int		0	0
7	SysSarani:VMS4-TKD1.command.izbor_znaka	SysSarani:VMS4-TKD1.command.izbor_znaka	dyn_int		0	0
8	SysSarani:VMS5-TKD1.command.izbor_znaka	SysSarani:VMS5-TKD1.command.izbor_znaka	dyn_int		0	0
9	SysSarani:VMS6-TKD1.command.izbor_znaka	SysSarani:VMS6-TKD1.command.izbor_znaka	dyn_int		0	0
10	SysSarani:VMS1-1-D3.command.izbor_znaka	SysSarani:VMS1-1-D3.command.izbor_znaka	dyn_int		0	0
11	SysSarani:VMS1-2-D3.command.izbor_znaka	SysSarani:VMS1-2-D3.command.izbor_znaka	dyn_int		0	0
12	SysSarani:VMS2-D3.command.izbor_znaka	SysSarani:VMS2-D3.command.izbor_znaka	dyn_int		0	0
13	SysSarani:VMS3-D3.command.izbor_znaka	SysSarani:VMS3-D3.command.izbor_znaka	dyn_int		0	0
14	SysSarani:VMS4-1-D3.command.izbor_znaka	SysSarani:VMS4-1-D3.command.izbor_znaka	dyn_int		0	0
15	SysSarani:VMS4-2-D3.command.izbor_znaka	SysSarani:VMS4-2-D3.command.izbor_znaka	dyn_int		0	0
16	SysSarani:VMS5-1-D3.command.izbor_znaka	SysSarani:VMS5-1-D3.command.izbor_znaka	dyn_int		0	0
17	SysSarani:VMS5-2-D3.command.izbor_znaka	SysSarani:VMS5-2-D3.command.izbor_znaka	dyn_int		0	0
18	SysSarani:VMS6-D3.command.izbor_znaka	SysSarani:VMS6-D3.command.izbor_znaka	dyn_int		0	0
19	SysSarani:VMS7-D3.command.izbor_znaka	SysSarani:VMS7-D3.command.izbor_znaka	dyn_int		0	0
20	SysSarani:VMS1-1-D5.command.izbor_znaka	SysSarani:VMS1-1-D5.command.izbor_znaka	dyn_int		0	0
21	SysSarani:VMS1-2-D5.command.izbor_znaka	SysSarani:VMS1-2-D5.command.izbor_znaka	dyn_int		0	0
22	SysSarani:VMS2-D5.command.izbor_znaka	SysSarani:VMS2-D5.command.izbor_znaka	dyn_int		0	0
23	SysSarani:VMS3-D5.command.izbor_znaka	SysSarani:VMS3-D5.command.izbor_znaka	dyn_int		0	0
24	SysSarani:VMS4-1-D5.command.izbor_znaka	SysSarani:VMS4-1-D5.command.izbor_znaka	dyn_int		0	0
25	SysSarani:VMS4-2-D5.command.izbor_znaka	SysSarani:VMS4-2-D5.command.izbor_znaka	dyn_int		0	0
26	SysSarani:VMS5-1-D5.command.izbor_znaka	SysSarani:VMS5-1-D5.command.izbor_znaka	dyn_int		0	0
27	SysSarani:VMS5-2-D5.command.izbor_znaka	SysSarani:VMS5-2-D5.command.izbor_znaka	dyn_int		0	0
28	SysSarani:VMS6-D5.command.izbor_znaka	SysSarani:VMS6-D5.command.izbor_znaka	dyn_int		0	0
29	SysSarani:VMS7-D5.command.izbor_znaka	SysSarani:VMS7-D5.command.izbor_znaka	dyn_int		0	0
30	SysSarani:VMS1-1-D7.command.izbor_znaka	SysSarani:VMS1-1-D7.command.izbor_znaka	dyn_int		0	0
31	SysSarani:VMS1-2-D7.command.izbor_znaka	SysSarani:VMS1-2-D7.command.izbor_znaka	dyn_int		0	0
32	SysSarani:VMS2-D7.command.izbor_znaka	SysSarani:VMS2-D7.command.izbor_znaka	dyn_int		0	0
33	SysSarani:VMS3-D7.command.izbor_znaka	SysSarani:VMS3-D7.command.izbor_znaka	dyn_int		0	0
34	SysSarani:VMS4-1-D7.command.izbor_znaka	SysSarani:VMS4-1-D7.command.izbor_znaka	dyn_int		0	0
35	SysSarani:VMS4-2-D7.command.izbor_znaka	SysSarani:VMS4-2-D7.command.izbor_znaka	dyn_int		0	0
36	SysSarani:VMS5-1-D7.command.izbor_znaka	SysSarani:VMS5-1-D7.command.izbor_znaka	dyn_int		0	0
37	SysSarani:VMS5-2-D7.command.izbor_znaka	SysSarani:VMS5-2-D7.command.izbor_znaka	dyn_int		0	0
38	SysSarani:VMS6-D7.command.izbor_znaka	SysSarani:VMS6-D7.command.izbor_znaka	dyn_int		0	0
39	SysSarani:VMS7-D7.command.izbor_znaka	SysSarani:VMS7-D7.command.izbor_znaka	dyn_int		0	0
40	SysSarani:VMS1-1-D8.command.izbor_znaka	SysSarani:VMS1-1-D8.command.izbor_znaka	dyn_int		0	0
41	SysSarani:VMS1-2-D8.command.izbor_znaka	SysSarani:VMS1-2-D8.command.izbor_znaka	dyn_int		0	0
42	SysSarani:VMS2-D8.command.izbor_znaka	SysSarani:VMS2-D8.command.izbor_znaka	dyn_int		0	0
43	SysSarani:VMS3-D8.command.izbor_znaka	SysSarani:VMS3-D8.command.izbor_znaka	dyn_int		0	0
44	SysSarani:VMS4-1-D8.command.izbor_znaka	SysSarani:VMS4-1-D8.command.izbor_znaka	dyn_int		0	0
45	SysSarani:VMS4-2-D8.command.izbor_znaka	SysSarani:VMS4-2-D8.command.izbor_znaka	dyn_int		0	0
46	SysSarani:VMS5-1-D8.command.izbor_znaka	SysSarani:VMS5-1-D8.command.izbor_znaka	dyn_int		0	0
47	SysSarani:VMS5-2-D8.command.izbor_znaka	SysSarani:VMS5-2-D8.command.izbor_znaka	dyn_int		0	0
48	SysSarani:VMS6-D8.command.izbor_znaka	SysSarani:VMS6-D8.command.izbor_znaka	dyn_int		0	0
49	SysSarani:VMS7-D8.command.izbor_znaka	SysSarani:VMS7-D8.command.izbor_znaka	dyn_int		0	0
50	SysSarani:VMS1-TKD3.command.izbor_znaka	SysSarani:VMS1-TKD3.command.izbor_znaka	dyn_int		0	0
51	SysSarani:VMS2-TKD3.command.izbor_znaka	SysSarani:VMS2-TKD3.command.izbor_znaka	dyn_int		0	0
52	SysSarani:VMS3-TKD3.command.izbor_znaka	SysSarani:VMS3-TKD3.command.izbor_znaka	dyn_int		0	0
53	SysSarani:VMS4-TKD3.command.izbor_znaka	SysSarani:VMS4-TKD3.command.izbor_znaka	dyn_int		0	0
54	SysSarani:VMS5-TKD3.command.izbor_znaka	SysSarani:VMS5-TKD3.command.izbor_znaka	dyn_int		0	0
