# ascii dump of database

# Aliases/Comments
AliasId	AliasName	CommentName
_Ui_1.UserName	""	lt:2 LANG:10024 "Ui1 user@@" LANG:10027 "Ui1 польз.@@" 
_Ui_2.UserName	""	lt:2 LANG:10024 "Ui2 user@@" LANG:10027 "Ui2 польз.@@" 
_Ui_3.UserName	""	lt:2 LANG:10024 "Ui3 user@@" LANG:10027 "Ui3 польз.@@" 
_Ui_4.UserName	""	lt:2 LANG:10024 "Ui4 user@@" LANG:10027 "Ui4 польз.@@" 
_Ui_5.UserName	""	lt:2 LANG:10024 "Ui5 user@@" LANG:10027 "Ui5 польз.@@" 
_Ui_6.UserName	""	lt:2 LANG:10024 "Ui6 user@@" LANG:10027 "Ui6 польз.@@" 
_Ui_8.UserName	""	lt:2 LANG:10024 "Ui8 user@@" LANG:10027 "Ui8 польз.@@" 
_Ui_9.UserName	""	lt:2 LANG:10024 "Ui9 user@@" LANG:10027 "Ui9 польз.@@" 
_Ui_10.UserName	""	lt:2 LANG:10024 "Ui10 user@@" LANG:10027 "Ui10 польз.@@" 
_Connections.Event.ManNums	""	lt:2 LANG:10024 "Event@@" LANG:10027 "Event@@" 
_Connections.Event.StartTimes	""	lt:2 LANG:10024 "Event@@" LANG:10027 "Event@@" 
_Connections.Driver.ManNums	""	lt:2 LANG:10024 "Driver@@" LANG:10027 "Драйвер@@" 
_Connections.Driver.StartTimes	""	lt:2 LANG:10024 "Driver@@" LANG:10027 "Драйвер@@" 
_Connections.Data.ManNums	""	lt:2 LANG:10024 "Data@@" LANG:10027 "Data@@" 
_Connections.Data.StartTimes	""	lt:2 LANG:10024 "Data@@" LANG:10027 "Data@@" 
_Connections.Ui.ManNums	""	lt:2 LANG:10024 "Ui@@" LANG:10027 "Ui@@" 
_Connections.Ui.StartTimes	""	lt:2 LANG:10024 "Ui@@" LANG:10027 "Ui@@" 
_Connections.Ctrl.ManNums	""	lt:2 LANG:10024 "CTRL@@" LANG:10027 "CTRL@@" 
_Connections.Ctrl.StartTimes	""	lt:2 LANG:10024 "CTRL@@" LANG:10027 "CTRL@@" 
_Connections.Ascii.ManNums	""	lt:2 LANG:10024 "ASCII@@" LANG:10027 "ASCII@@" 
_Connections.Ascii.StartTimes	""	lt:2 LANG:10024 "ASCII@@" LANG:10027 "ASCII@@" 
_Connections.Api.ManNums	""	lt:2 LANG:10024 "Api@@" LANG:10027 "Api@@" 
_Connections.Api.StartTimes	""	lt:2 LANG:10024 "Api@@" LANG:10027 "Api@@" 
_Connections.Report.ManNums	""	lt:2 LANG:10024 "Report@@" LANG:10027 "Отчет@@" 
_Connections.Report.StartTimes	""	lt:2 LANG:10024 "Report@@" LANG:10027 "Отчет@@" 
_Connections.Device.ManNums	""	lt:2 LANG:10024 "Device@@" LANG:10027 "Устр-во@@" 
_Connections.Device.StartTimes	""	lt:2 LANG:10024 "Device@@" LANG:10027 "Устр-во@@" 
_Connections.Dde.ManNums	""	lt:2 LANG:10024 "Dde@@" LANG:10027 "Dde@@" 
_Connections.Dde.StartTimes	""	lt:2 LANG:10024 "Dde@@" LANG:10027 "Dde@@" 
_Connections.Redu.ManNums	""	lt:2 LANG:10024 "Redu@@" LANG:10027 "Redu@@" 
_Connections.Redu.StartTimes	""	lt:2 LANG:10024 "Redu@@" LANG:10027 "Redu@@" 
_Connections.Dist.ManNums	""	lt:2 LANG:10024 "Dist@@" LANG:10027 "Dist@@" 
_Connections.Dist.StartTimes	""	lt:2 LANG:10024 "Dist@@" LANG:10027 "Dist@@" 
_Event.License.RemainingTime	""	lt:2 LANG:10024 "@@min" LANG:10027 "@@min" 
_Connections_2.Event.ManNums	""	lt:2 LANG:10024 "Event_2@@" LANG:10027 "Event_2@@" 
_Connections_2.Event.StartTimes	""	lt:2 LANG:10024 "Event_2@@" LANG:10027 "Event_2@@" 
_Connections_2.Driver.ManNums	""	lt:2 LANG:10024 "Driver_2@@" LANG:10027 "Драйвер_2@@" 
_Connections_2.Driver.StartTimes	""	lt:2 LANG:10024 "Driver_2@@" LANG:10027 "Драйвер_2@@" 
_Connections_2.Data.ManNums	""	lt:2 LANG:10024 "Data_2@@" LANG:10027 "Data_2@@" 
_Connections_2.Data.StartTimes	""	lt:2 LANG:10024 "Data_2@@" LANG:10027 "Data_2@@" 
_Connections_2.Ui.ManNums	""	lt:2 LANG:10024 "Ui_2@@" LANG:10027 "Ui_2@@" 
_Connections_2.Ui.StartTimes	""	lt:2 LANG:10024 "Ui_2@@" LANG:10027 "Ui_2@@" 
_Connections_2.Ctrl.ManNums	""	lt:2 LANG:10024 "CTRL_2@@" LANG:10027 "CTRL_2@@" 
_Connections_2.Ctrl.StartTimes	""	lt:2 LANG:10024 "CTRL_2@@" LANG:10027 "CTRL_2@@" 
_Connections_2.Ascii.ManNums	""	lt:2 LANG:10024 "ASCII_2@@" LANG:10027 "ASCII_2@@" 
_Connections_2.Ascii.StartTimes	""	lt:2 LANG:10024 "ASCII_2@@" LANG:10027 "ASCII_2@@" 
_Connections_2.Api.ManNums	""	lt:2 LANG:10024 "Api_2@@" LANG:10027 "Api_2@@" 
_Connections_2.Api.StartTimes	""	lt:2 LANG:10024 "Api_2@@" LANG:10027 "Api_2@@" 
_Connections_2.Report.ManNums	""	lt:2 LANG:10024 "Report_2@@" LANG:10027 "Отчет_2@@" 
_Connections_2.Report.StartTimes	""	lt:2 LANG:10024 "Report_2@@" LANG:10027 "Отчет_2@@" 
_Connections_2.Device.ManNums	""	lt:2 LANG:10024 "Device_2@@" LANG:10027 "Устр-во_2@@" 
_Connections_2.Device.StartTimes	""	lt:2 LANG:10024 "Device_2@@" LANG:10027 "Устр-во_2@@" 
_Connections_2.Dde.ManNums	""	lt:2 LANG:10024 "Dde_2@@" LANG:10027 "Dde_2@@" 
_Connections_2.Dde.StartTimes	""	lt:2 LANG:10024 "Dde_2@@" LANG:10027 "Dde_2@@" 
_Connections_2.Redu.ManNums	""	lt:2 LANG:10024 "Redu_2@@" LANG:10027 "Redu_2@@" 
_Connections_2.Redu.StartTimes	""	lt:2 LANG:10024 "Redu_2@@" LANG:10027 "Redu_2@@" 
_Connections_2.Dist.ManNums	""	lt:2 LANG:10024 "Dist_2@@" LANG:10027 "Dist_2@@" 
_Connections_2.Dist.StartTimes	""	lt:2 LANG:10024 "Dist_2@@" LANG:10027 "Dist_2@@" 
_Event_2.License.RemainingTime	""	lt:2 LANG:10024 "@@min" LANG:10027 "@@min" 
_DpGroup00001_Public.	"Alerts"	lt:2 LANG:10024 "Alerts@%s@" LANG:10027 "Alerts@%s@" 
_DpGroup00002_Public.	"Parameters"	lt:2 LANG:10024 "Parameters@%s@" LANG:10027 "Parameters@%s@" 
_DpGroup00003_Public.	"Commands"	lt:2 LANG:10024 "Commands@%s@" LANG:10027 "Commands@%s@" 
_DpGroup00004_Public.	"States"	lt:2 LANG:10024 "States@%s@" LANG:10027 "States@%s@" 
_DpGroup00005_Public.	"Values"	lt:2 LANG:10024 "Values@%s@" LANG:10027 "Values@%s@" 
_DpGroup00006_Public.	"OPCRead"	lt:2 LANG:10024 "OPCRead@%s@" LANG:10027 "OPCRead@%s@" 
_DpGroup00007_Public.	"OPCWrite"	lt:2 LANG:10024 "OPCWrite@%s@" LANG:10027 "OPCWrite@%s@" 
_DpGroup00008_Public.	"SplitGet"	lt:2 LANG:10024 "SplitGet@%s@" LANG:10027 "SplitGet@%s@" 
