# ascii dump of database

# Datapoint/DpId
DpName	TypeName	ID
_1_ServiceDp	_Service	1
_2_ServiceDp	_Service	2
_3_ServiceDp	_Service	3
_1_KR_2	_KR	4
_1_KR_3	_KR	5
_1_KR_4	_KR	6
_2_KR_2	_KR	7
_2_KR_3	_KR	8
_2_KR_4	_KR	9
_3_KR_2	_KR	10
_3_KR_3	_KR	11
_3_KR_4	_KR	12
_DP	_DP	13
_1_DPM	_DPM	14
_2_DPM	_DPM	15
_3_DPM	_DPM	16
_ActivateMode	_Module	17
_AlertDataSet	_DataSet	18
_AlertFilter	_AlertFilter	19
_AlertRow	_AlertRow	20
_AlertSaveRestore	_AlertSaveRestore	21
_AsciiManager	_AsciiManager	22
_ChildPanelOn	_ChildPanel	23
_ConfirmAll	_Module	24
_ConfirmMode	_Module	25
_DataBgManager	_DataBgManager	26
_DataManager	_DataManager	27
_DataSaveRestore	_DataSaveRestore	28
_DataSet	_DataSet	29
_ValueArchive_0	_ValueArchive	30
_ValueArchive_1	_ValueArchive	31
_ValueArchive_2	_ValueArchive	32
_ValueArchive_3	_ValueArchive	33
_ValueArchive_4	_ValueArchive	34
_ValueArchive_5	_ValueArchive	35
_ValueArchive_6	_ValueArchive	36
_ValueArchive_7	_ValueArchive	37
_ValueArchive_8	_ValueArchive	38
_ValueArchive_9	_ValueArchive	39
_ValueArchiveMedia	_ValueArchivMedia	40
_Driver1	_DriverCommon	41
_Driver2	_DriverCommon	42
_Driver3	_DriverCommon	43
_LayerOff	_Layer	44
_LayerOn	_Layer	45
_ModuleOff	_Module	46
_ModuleOn	_ModuleOn	47
_PanelOff	_Panel	48
_Printer	_Printer	49
_PrintPanel	_PrintPanel	50
_RootPanelOn	_RootPanel	51
_RootPanelOrigOn	_RootPanel	52
_RK512_1	_RK512	53
_RK512_2	_RK512	54
_SilentPrint	_SilentPrint	55
_Simulator_1	_Simulator	56
_Simulator_2	_Simulator	57
_Simulator_3	_Simulator	58
_SSI_DaDf_Table	_SSI_DaDf	59
_SSI_Impulse_Times	_SSI_Impulse_Type	60
_SystemPrinter	_Printer	61
_Users	_Users	62
_Managers	_Managers	63
_System	_System	64
_TimedFunc	_TimedFunc	65
_Ui_1	_Ui	66
_Ui_2	_Ui	67
_Ui_3	_Ui	68
_Ui_4	_Ui	69
_Ui_5	_Ui	70
_Ui_6	_Ui	71
_Ui_7	_Ui	72
_Ui_8	_Ui	73
_Ui_9	_Ui	74
_Ui_10	_Ui	75
