# ascii dump of database

# DpValue
Manager/User	ElementName	TypeName	_original.._value	_original.._status64	_original.._stime
DM (0)/0	_AlertDataSet.List.StartTimes	_DataSet	03.10.2016 00:00:00.000, 17.10.2016 00:00:00.000, 24.10.2016 00:00:00.000	0x8300000000000101	27.10.2016 13:42:38.021
DM (0)/0	_AlertDataSet.List.States	_DataSet	0x0, 0x0, 0x0	0x8300000000000101	27.10.2016 13:42:38.021
CTL (1)/0	_AlertDataSet.Delete.Start	_DataSet	12.09.2016 00:00:00.000	0x8300000000300101	04.10.2016 14:01:46.110
DM (1)/0	_AlertDataSet.Delete.InProgress	_DataSet	0	0x8300000000000101	27.10.2016 17:01:07.556
DM (1)/0	_AlertDataSet.Delete.ProcessingFrom	_DataSet	01.01.1970 00:00:00.000	0x8300000000000101	27.10.2016 17:01:07.556
DM (1)/0	_AlertDataSet.Move.InProgress	_DataSet	0	0x8300000000000101	27.10.2016 17:01:07.556
DM (1)/0	_AlertDataSet.Move.ProcessingFrom	_DataSet	01.01.1970 00:00:00.000	0x8300000000000101	27.10.2016 17:01:07.556
DM (1)/0	_AlertDataSet.Restore.InProgress	_DataSet	0	0x8300000000000101	27.10.2016 17:01:07.556
DM (1)/0	_AlertDataSet.Restore.ProcessingFrom	_DataSet	01.01.1970 00:00:00.000	0x8300000000000101	27.10.2016 17:01:07.556
DM (1)/0	_AlertDataSet.MoveToTmp.InProgress	_DataSet	0	0x8300000000000101	27.10.2016 17:01:07.556
DM (1)/0	_AlertDataSet.MoveToTmp.ProcessingFrom	_DataSet	01.01.1970 00:00:00.000	0x8300000000000101	27.10.2016 17:01:07.556
DM (1)/0	_AlertDataSet.RestoreFromTmp.InProgress	_DataSet	0	0x8300000000000101	27.10.2016 17:01:07.556
DM (1)/0	_AlertDataSet.RestoreFromTmp.ProcessingFrom	_DataSet	01.01.1970 00:00:00.000	0x8300000000000101	27.10.2016 17:01:07.556
DM (1)/0	_AlertSaveRestore.SaveDirList.DirNames	_AlertSaveRestore		0x8300000000000101	27.10.2016 17:01:07.558
DM (1)/0	_AlertSaveRestore.SaveDirList.Descriptions	_AlertSaveRestore		0x8300000000000101	27.10.2016 17:01:07.558
DM (1)/0	_DataBgManager.Hold.Pending	_DataBgManager	0	0x8300000000000101	27.10.2016 17:01:07.557
DM (1)/0	_DataBgManager.Hold.Status	_DataBgManager	0	0x8300000000000101	27.10.2016 17:01:07.557
DM (0)/0	_DataManager.MultiUserMode.Status	_DataManager	0	0x101	27.10.2016 17:01:00.037
DM (1)/0	_DataManager.DataBase.Lock.Request	_DataManager	769	0x8300000000000101	04.10.2016 14:01:46.116
DM (0)/0	_DataManager.DataBase.Lock.Response	_DataManager	769	0x8300000000000101	04.10.2016 14:01:46.117
DM (1)/0	_DataManager.DataBase.Unlock.Request	_DataManager	769	0x8300000000000101	04.10.2016 14:01:46.220
DM (0)/0	_DataManager.DataBase.Unlock.Response	_DataManager	0	0x8300000000000101	04.10.2016 14:01:46.220
DM (1)/0	_DataManager.DataBase.UpdatingFirstValues	_DataManager	0	0x8300000000000101	04.10.2016 14:01:46.220
CTL (1)/0	_DataManager.AlertDataSetChange.Start	_DataManager	1	0x8300000000000101	23.10.2016 23:05:01.042
DM (0)/0	_DataManager.AlertDataSetChange.InProgress	_DataManager	0	0x8300000000100101	24.10.2016 00:01:00.044
